source_gene_symbol	source_gene_symbol	target_gene_symbol	value
VDAC1	VDAC1	TLR4	-0.20397249809
DNAJA3	DNAJA3	TLR4	-0.07410236822
ACLY	ACLY	TLR4	0.0469060351413
APP	APP	TLR4	-0.174331550802
HSPA8	HSPA8	TLR4	0.206417112299
PCNA	PCNA	TLR4	0.00198624904507
HSPB1	HSPB1	TLR4	-0.338120702827
SNAP25	SNAP25	TLR4	0.236974789916
CDC20	CDC20	TLR4	0.109854851031
SQSTM1	SQSTM1	TLR4	-0.230863254393
BTK	BTK	TLR4	0.260198624905
GNAS	GNAS	TLR4	-0.24461420932
LSM5	LSM5	TLR4	0.0374331550802
PNP	PNP	TLR4	0.0719633307869
IFRD2	IFRD2	TLR4	0.0780748663102
DDIT4	DDIT4	TLR4	-0.275783040489
TSC22D3	TSC22D3	TLR4	-0.328647822765
CREG1	CREG1	TLR4	-0.365011459129
TES	TES	TLR4	-0.174942704354
CTSD	CTSD	TLR4	-0.209778456837
TXNRD1	TXNRD1	TLR4	-0.205805958747
TRIB3	TRIB3	TLR4	-0.122383498854
TUBB6	TUBB6	TLR4	-0.130939648587
GAPDH	GAPDH	TLR4	-0.321313980138
VDAC1	VDAC1	BTK	-0.63269671505
DNAJA3	DNAJA3	BTK	0.368983957219
ACLY	ACLY	BTK	-0.400458365164
APP	APP	BTK	-0.0340718105424
HSPA8	HSPA8	BTK	-0.283728036669
PCNA	PCNA	BTK	-0.546829640947
HSPB1	HSPB1	BTK	-0.163025210084
SNAP25	SNAP25	BTK	0.587776928953
CDC20	CDC20	BTK	-0.365317035905
SQSTM1	SQSTM1	BTK	-0.217723453018
TLR4	TLR4	BTK	0.260198624905
GNAS	GNAS	BTK	-0.61038961039
LSM5	LSM5	BTK	-0.513216195569
PNP	PNP	BTK	-0.339648586707
IFRD2	IFRD2	BTK	-0.306035141329
DDIT4	DDIT4	BTK	-0.50679908327
TSC22D3	TSC22D3	BTK	-0.217723453018
CREG1	CREG1	BTK	-0.247364400306
TES	TES	BTK	0.191138273491
CTSD	CTSD	BTK	0.186860198625
TXNRD1	TXNRD1	BTK	-0.234530175707
TRIB3	TRIB3	BTK	0.230557677617
TUBB6	TUBB6	BTK	-0.554163483575
GAPDH	GAPDH	BTK	-0.254087089381
VDAC1	VDAC1	GNAS	0.584110007639
DNAJA3	DNAJA3	GNAS	-0.260198624905
ACLY	ACLY	GNAS	0.277616501146
APP	APP	GNAS	0.313674560733
HSPA8	HSPA8	GNAS	0.0707410236822
PCNA	PCNA	GNAS	0.243391902215
HSPB1	HSPB1	GNAS	0.508632543927
SNAP25	SNAP25	GNAS	-0.438655462185
CDC20	CDC20	GNAS	-0.00106951871658
SQSTM1	SQSTM1	GNAS	0.515049656226
TLR4	TLR4	GNAS	-0.24461420932
BTK	BTK	GNAS	-0.61038961039
LSM5	LSM5	GNAS	0.420626432391
PNP	PNP	GNAS	0.186860198625
IFRD2	IFRD2	GNAS	-0.157219251337
DDIT4	DDIT4	GNAS	0.711229946524
TSC22D3	TSC22D3	GNAS	0.543468296409
CREG1	CREG1	GNAS	0.50038197097
TES	TES	GNAS	-0.21038961039
CTSD	CTSD	GNAS	0.11077158136
TXNRD1	TXNRD1	GNAS	0.453628724217
TRIB3	TRIB3	GNAS	-0.233919022154
TUBB6	TUBB6	GNAS	0.34025974026
GAPDH	GAPDH	GNAS	0.501909854851
VDAC1	VDAC1	LSM5	0.574025974026
DNAJA3	DNAJA3	LSM5	-0.548663101604
ACLY	ACLY	LSM5	0.557524828113
APP	APP	LSM5	-0.278838808251
HSPA8	HSPA8	LSM5	0.56577540107
PCNA	PCNA	LSM5	0.590527119939
HSPB1	HSPB1	LSM5	-0.239113827349
SNAP25	SNAP25	LSM5	-0.30756302521
CDC20	CDC20	LSM5	0.520550038197
SQSTM1	SQSTM1	LSM5	-0.177387318564
TLR4	TLR4	LSM5	0.0374331550802
BTK	BTK	LSM5	-0.513216195569
GNAS	GNAS	LSM5	0.420626432391
PNP	PNP	LSM5	0.640030557678
IFRD2	IFRD2	LSM5	0.556913674561
DDIT4	DDIT4	LSM5	0.159969442322
TSC22D3	TSC22D3	LSM5	-0.122383498854
CREG1	CREG1	LSM5	-0.258670741024
TES	TES	LSM5	-0.466462948816
CTSD	CTSD	LSM5	-0.316119174943
TXNRD1	TXNRD1	LSM5	-0.19602750191
TRIB3	TRIB3	LSM5	-0.35614973262
TUBB6	TUBB6	LSM5	0.620779220779
GAPDH	GAPDH	LSM5	-0.231168831169
VDAC1	VDAC1	PNP	0.686478227655
DNAJA3	DNAJA3	PNP	-0.648892284186
ACLY	ACLY	PNP	0.711229946524
APP	APP	PNP	-0.671199388846
HSPA8	HSPA8	PNP	0.69717341482
PCNA	PCNA	PNP	0.701757066463
HSPB1	HSPB1	PNP	-0.540412528648
SNAP25	SNAP25	PNP	-0.320091673033
CDC20	CDC20	PNP	0.84385026738
SQSTM1	SQSTM1	PNP	-0.539190221543
TLR4	TLR4	PNP	0.0719633307869
BTK	BTK	PNP	-0.339648586707
GNAS	GNAS	PNP	0.186860198625
LSM5	LSM5	PNP	0.640030557678
IFRD2	IFRD2	PNP	0.727119938885
DDIT4	DDIT4	PNP	0.0915202444614
TSC22D3	TSC22D3	PNP	-0.488158899924
CREG1	CREG1	PNP	-0.481741787624
TES	TES	PNP	-0.727731092437
CTSD	CTSD	PNP	-0.740565317036
TXNRD1	TXNRD1	PNP	-0.574942704354
TRIB3	TRIB3	PNP	-0.7179526356
TUBB6	TUBB6	PNP	0.817876241406
GAPDH	GAPDH	PNP	-0.418181818182
VDAC1	VDAC1	IFRD2	0.406875477464
DNAJA3	DNAJA3	IFRD2	-0.489686783804
ACLY	ACLY	IFRD2	0.639113827349
APP	APP	IFRD2	-0.517494270435
HSPA8	HSPA8	IFRD2	0.483269671505
PCNA	PCNA	IFRD2	0.494881588999
HSPB1	HSPB1	IFRD2	-0.598472116119
SNAP25	SNAP25	IFRD2	-0.178609625668
CDC20	CDC20	IFRD2	0.776012223071
SQSTM1	SQSTM1	IFRD2	-0.542857142857
TLR4	TLR4	IFRD2	0.0780748663102
BTK	BTK	IFRD2	-0.306035141329
GNAS	GNAS	IFRD2	-0.157219251337
LSM5	LSM5	IFRD2	0.556913674561
PNP	PNP	IFRD2	0.727119938885
DDIT4	DDIT4	IFRD2	-0.0786860198625
TSC22D3	TSC22D3	IFRD2	-0.539190221543
CREG1	CREG1	IFRD2	-0.574942704354
TES	TES	IFRD2	-0.517799847212
CTSD	CTSD	IFRD2	-0.648892284186
TXNRD1	TXNRD1	IFRD2	-0.596638655462
TRIB3	TRIB3	IFRD2	-0.353093964859
TUBB6	TUBB6	IFRD2	0.642475171887
GAPDH	GAPDH	IFRD2	-0.440488922842
VDAC1	VDAC1	DDIT4	0.531245225363
DNAJA3	DNAJA3	DDIT4	-0.0731856378915
ACLY	ACLY	DDIT4	0.161497326203
APP	APP	DDIT4	0.38090145149
HSPA8	HSPA8	DDIT4	-0.12268907563
PCNA	PCNA	DDIT4	0.0420168067227
HSPB1	HSPB1	DDIT4	0.520855614973
SNAP25	SNAP25	DDIT4	-0.458823529412
CDC20	CDC20	DDIT4	0.102521008403
SQSTM1	SQSTM1	DDIT4	0.625362872422
TLR4	TLR4	DDIT4	-0.275783040489
BTK	BTK	DDIT4	-0.50679908327
GNAS	GNAS	DDIT4	0.711229946524
LSM5	LSM5	DDIT4	0.159969442322
PNP	PNP	DDIT4	0.0915202444614
IFRD2	IFRD2	DDIT4	-0.0786860198625
TSC22D3	TSC22D3	DDIT4	0.660504201681
CREG1	CREG1	DDIT4	0.537356760886
TES	TES	DDIT4	-0.0545454545455
CTSD	CTSD	DDIT4	0.181359816654
TXNRD1	TXNRD1	DDIT4	0.498242933537
TRIB3	TRIB3	DDIT4	-0.0750190985485
TUBB6	TUBB6	DDIT4	0.282811306341
GAPDH	GAPDH	DDIT4	0.613750954927
VDAC1	VDAC1	TSC22D3	-0.00840336134454
DNAJA3	DNAJA3	TSC22D3	0.30359052712
ACLY	ACLY	TSC22D3	-0.224446142093
APP	APP	TSC22D3	0.686172650879
HSPA8	HSPA8	TSC22D3	-0.44782276547
PCNA	PCNA	TSC22D3	-0.400152788388
HSPB1	HSPB1	TSC22D3	0.725286478228
SNAP25	SNAP25	TSC22D3	-0.210695187166
CDC20	CDC20	TSC22D3	-0.464629488159
SQSTM1	SQSTM1	TSC22D3	0.919022154316
TLR4	TLR4	TSC22D3	-0.328647822765
BTK	BTK	TSC22D3	-0.217723453018
GNAS	GNAS	TSC22D3	0.543468296409
LSM5	LSM5	TSC22D3	-0.122383498854
PNP	PNP	TSC22D3	-0.488158899924
IFRD2	IFRD2	TSC22D3	-0.539190221543
DDIT4	DDIT4	TSC22D3	0.660504201681
