source_gene_symbol	source_gene_symbol	target_gene_symbol	value
UBE2C	UBE2C	TUBB6	0.881280788177
LSM5	LSM5	TUBB6	0.75763546798
IFRD2	IFRD2	TUBB6	0.489162561576
TSC22D3	TSC22D3	TUBB6	-0.632512315271
CREG1	CREG1	TUBB6	-0.654679802956
TCEAL4	TCEAL4	TUBB6	-0.648768472906
MUC1	MUC1	TUBB6	-0.745812807882
TOP2A	TOP2A	TUBB6	0.811330049261
DUSP6	DUSP6	TUBB6	-0.286206896552
CAPN1	CAPN1	TUBB6	-0.750246305419
CCNB2	CCNB2	TUBB6	0.812315270936
TXNRD1	TXNRD1	TUBB6	-0.588669950739
TSPAN4	TSPAN4	TUBB6	0.646798029557
FOSL1	FOSL1	TUBB6	0.558620689655
GAPDH	GAPDH	TUBB6	-0.261083743842
E2F2	E2F2	FOSL1	0.384729064039
RGS2	RGS2	FOSL1	-0.442857142857
ACLY	ACLY	FOSL1	-0.195073891626
APP	APP	FOSL1	-0.651231527094
CCNB1	CCNB1	FOSL1	0.513793103448
PCNA	PCNA	FOSL1	0.534975369458
HSPB1	HSPB1	FOSL1	-0.553694581281
BIRC5	BIRC5	FOSL1	0.774384236453
CDC20	CDC20	FOSL1	0.354679802956
UBE2C	UBE2C	FOSL1	0.554187192118
