gene_symbol	signature	value	drug	concentration	timepoint
TSC22D3	neratinib_0.12_3	0.0539315597693	neratinib	0.12	3
TSC22D3	neratinib_0.37_3	0.0594544775605	neratinib	0.37	3
TSC22D3	neratinib_1.11_3	0.044673577761	neratinib	1.11	3
TSC22D3	neratinib_3.33_3	0.0474138613678	neratinib	3.33	3
TSC22D3	neratinib_10.0_3	0.0273406179527	neratinib	10.0	3
TSC22D3	neratinib_0.12_24	0.13441126667	neratinib	0.12	24
TSC22D3	neratinib_1.11_24	0.174183705246	neratinib	1.11	24
TSC22D3	neratinib_3.33_24	0.189409983024	neratinib	3.33	24
TSC22D3	neratinib_10.0_24	0.16155248719	neratinib	10.0	24
TUBB6	neratinib_0.04_3	-0.0621136663559	neratinib	0.04	3
TUBB6	neratinib_0.12_3	-0.0135596545314	neratinib	0.12	3
TUBB6	neratinib_0.37_3	-0.148380501085	neratinib	0.37	3
TUBB6	neratinib_1.11_3	0.0960691702619	neratinib	1.11	3
TUBB6	neratinib_3.33_3	-0.0266438781746	neratinib	3.33	3
TUBB6	neratinib_10.0_3	-0.0405197546005	neratinib	10.0	3
TUBB6	neratinib_0.12_24	-0.0928905836171	neratinib	0.12	24
TUBB6	neratinib_1.11_24	-0.0959578235671	neratinib	1.11	24
TUBB6	neratinib_3.33_24	-0.0838880660273	neratinib	3.33	24
TUBB6	neratinib_10.0_24	-0.0881423098743	neratinib	10.0	24
TXNRD1	neratinib_0.04_3	-0.0259195887313	neratinib	0.04	3
TXNRD1	neratinib_0.12_3	0.0151077935476	neratinib	0.12	3
TXNRD1	neratinib_0.37_3	0.00418358928865	neratinib	0.37	3
TXNRD1	neratinib_1.11_3	0.0193922901441	neratinib	1.11	3
TXNRD1	neratinib_3.33_3	-0.0297268738916	neratinib	3.33	3
TXNRD1	neratinib_10.0_3	0.00559157690386	neratinib	10.0	3
TXNRD1	neratinib_0.12_24	0.153571168509	neratinib	0.12	24
TXNRD1	neratinib_1.11_24	0.183527528893	neratinib	1.11	24
TXNRD1	neratinib_3.33_24	0.193553604529	neratinib	3.33	24
TXNRD1	neratinib_10.0_24	0.187614622247	neratinib	10.0	24
VDAC1	neratinib_0.04_3	-0.108297612888	neratinib	0.04	3
VDAC1	neratinib_0.12_3	-0.0268543464957	neratinib	0.12	3
VDAC1	neratinib_0.37_3	-0.0692184349856	neratinib	0.37	3
VDAC1	neratinib_1.11_3	-0.0323806344941	neratinib	1.11	3
VDAC1	neratinib_3.33_3	0.0343359274487	neratinib	3.33	3
VDAC1	neratinib_10.0_3	-0.206267246829	neratinib	10.0	3
VDAC1	neratinib_0.12_24	-0.106465265495	neratinib	0.12	24
VDAC1	neratinib_1.11_24	-0.111246812494	neratinib	1.11	24
VDAC1	neratinib_3.33_24	-0.11237916309	neratinib	3.33	24
VDAC1	neratinib_10.0_24	-0.128454170669	neratinib	10.0	24
